project_code,report_year,report_month_num,agency_frequency,state_frequency,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,approval_to_start_days,planned_duration_days,time_overrun_days,time_overrun_months,time_overrun_flag
400043,2026,5,0.0203443568629177,0.0191113655378924,829.0,378.18,78.0,0.0,1581.0,304.0,9.987679671457906,1
400043,2026,6,0.0203443568629177,0.0191113655378924,829.0,382.96,79.6,0.0,1581.0,304.0,9.987679671457906,1
400043,2026,7,0.0101721784314588,0.0191113655378924,829.0,382.47,81.0,0.0,1581.0,304.0,9.987679671457906,1
400045,2025,7,0.0097758597912721,0.037782377031133,168.32,69.85,82.0,304.0,912.0,0.0,0.0,0
400045,2025,8,0.0097758597912721,0.037782377031133,168.32,69.85,82.0,0.0,974.0,0.0,0.0,0
400045,2025,10,0.0097758597912721,0.037782377031133,168.32,69.85,82.0,0.0,974.0,0.0,0.0,0
400045,2025,11,0.0097758597912721,0.037782377031133,168.32,69.85,82.0,0.0,974.0,0.0,0.0,0
400045,2025,12,0.0097758597912721,0.037782377031133,168.32,69.85,82.0,0.0,974.0,0.0,0.0,0
400045,2026,1,0.0097758597912721,0.037782377031133,168.32,69.85,82.0,0.0,974.0,0.0,0.0,0
400045,2026,2,0.0097758597912721,0.037782377031133,168.32,69.85,82.0,0.0,974.0,0.0,0.0,0
400045,2026,3,0.0097758597912721,0.037782377031133,168.32,69.85,82.0,0.0,974.0,0.0,0.0,0
400045,2026,4,0.0097758597912721,0.037782377031133,168.32,69.85,82.0,0.0,974.0,0.0,0.0,0
400045,2026,5,0.0097758597912721,0.037782377031133,168.32,69.85,82.0,0.0,974.0,0.0,0.0,0
400045,2026,6,0.0097758597912721,0.037782377031133,168.32,69.85,82.0,0.0,974.0,0.0,0.0,0
400045,2026,7,0.0097758597912721,0.037782377031133,168.32,69.85,82.0,0.0,974.0,0.0,0.0,0
400047,2025,12,0.0097758597912721,0.037782377031133,210.0,13.17,40.0,0.0,914.0,0.0,0.0,0
400047,2026,1,0.0097758597912721,0.037782377031133,210.0,37.17,50.0,0.0,914.0,730.0,23.98357289527721,1
400047,2026,2,0.0097758597912721,0.037782377031133,210.0,37.26,50.0,0.0,914.0,730.0,23.98357289527721,1
400047,2026,3,0.0097758597912721,0.037782377031133,210.0,38.26,50.0,0.0,914.0,730.0,23.98357289527721,1
400047,2026,4,0.0097758597912721,0.037782377031133,210.0,39.31,52.0,0.0,914.0,730.0,23.98357289527721,1
400047,2026,5,0.0097758597912721,0.037782377031133,210.0,40.56,52.0,0.0,914.0,730.0,23.98357289527721,1
400047,2026,6,0.0097758597912721,0.037782377031133,210.0,41.17,53.0,0.0,914.0,730.0,23.98357289527721,1
400047,2026,7,0.0097758597912721,0.037782377031133,210.0,41.17,53.0,0.0,914.0,730.0,23.98357289527721,1
400048,2025,12,0.0097758597912721,0.037782377031133,186.21,45.0,80.0,0.0,914.0,0.0,0.0,0
400048,2026,1,0.0097758597912721,0.037782377031133,186.21,93.02,86.0,0.0,914.0,486.0,15.967145790554415,1
400048,2026,2,0.0097758597912721,0.037782377031133,186.21,95.57,87.0,0.0,914.0,486.0,15.967145790554415,1
400048,2026,3,0.0097758597912721,0.037782377031133,186.21,96.77,88.0,0.0,914.0,486.0,15.967145790554415,1
400048,2026,4,0.0097758597912721,0.037782377031133,186.21,100.97,88.0,0.0,914.0,912.0,29.96303901437372,1
400048,2026,5,0.0097758597912721,0.037782377031133,186.21,103.1,88.0,0.0,914.0,912.0,29.96303901437372,1
400048,2026,6,0.0097758597912721,0.037782377031133,186.21,105.07,88.0,0.0,914.0,912.0,29.96303901437372,1
400048,2026,7,0.0097758597912721,0.037782377031133,186.21,105.07,88.0,0.0,914.0,912.0,29.96303901437372,1
400065,2025,7,0.0079263728037342,0.037782377031133,1105.23,736.47,96.0,304.0,912.0,61.0,2.004106776180698,1
400065,2025,8,0.0079263728037342,0.037782377031133,1105.23,769.08,97.0,31.0,1185.0,123.0,4.041067761806982,1
400065,2025,10,0.0079263728037342,0.037782377031133,1105.23,790.11,99.0,31.0,1185.0,123.0,4.041067761806982,1
400065,2025,11,0.0079263728037342,0.037782377031133,1105.23,790.11,100.0,31.0,1185.0,123.0,4.041067761806982,1
400077,2025,7,0.0031705491214936,0.0191113655378924,827.0,619.5,85.0,304.0,912.0,455.0,14.948665297741274,1
400077,2025,8,0.0031705491214936,0.0191113655378924,827.0,626.01,88.0,304.0,1065.0,455.0,14.948665297741274,1
400077,2025,10,0.0031705491214936,0.0191113655378924,827.0,638.71,89.0,0.0,1065.0,455.0,14.948665297741274,1
400077,2025,11,0.0031705491214936,0.0191113655378924,827.0,649.51,90.0,0.0,1065.0,455.0,14.948665297741274,1
400077,2025,12,0.0031705491214936,0.0191113655378924,827.0,649.51,90.0,0.0,1065.0,455.0,14.948665297741274,1
400077,2026,1,0.0031705491214936,0.0191113655378924,827.0,641.34,90.0,0.0,1065.0,455.0,14.948665297741274,1
400077,2026,2,0.0031705491214936,0.0191113655378924,827.0,647.01,93.0,0.0,1065.0,455.0,14.948665297741274,1
400078,2025,7,0.0203443568629177,0.0005284248535822,9028.0,7071.08,84.0,304.0,912.0,365.0,11.991786447638605,1
400078,2025,8,0.0203443568629177,0.0005284248535822,9028.0,7136.41,85.0,304.0,1096.0,365.0,11.991786447638605,1
400078,2025,10,0.0203443568629177,0.0005284248535822,9028.0,7292.34,86.0,0.0,1096.0,365.0,11.991786447638605,1
400078,2025,11,0.0203443568629177,0.0005284248535822,9028.0,7357.45,86.0,0.0,1096.0,547.0,17.971252566735114,1
400078,2025,12,0.0203443568629177,0.0005284248535822,9028.0,7394.54,88.0,0.0,1096.0,547.0,17.971252566735114,1
400078,2026,1,0.0203443568629177,0.0005284248535822,9028.0,7290.7,89.0,0.0,1096.0,547.0,17.971252566735114,1
400078,2026,2,0.0203443568629177,0.0005284248535822,9028.0,7343.81,90.0,0.0,1096.0,547.0,17.971252566735114,1
