project_code,report_year,report_month_num,agency_frequency,state_frequency,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,expenditure_to_original_cost_pct,expenditure_per_progress_pct_cr,remaining_original_cost_cr,approval_to_start_days,planned_duration_days,elapsed_duration_days,remaining_planned_days,elapsed_duration_pct,progress_per_elapsed_month,schedule_progress_gap_pct,report_year_missing,report_month_num_missing,agency_frequency_missing,state_frequency_missing,original_cost_cr_missing,cumulative_expenditure_cr_missing,physical_progress_pct_missing,expenditure_to_original_cost_pct_missing,expenditure_per_progress_pct_cr_missing,remaining_original_cost_cr_missing,approval_to_start_days_missing,planned_duration_days_missing,elapsed_duration_days_missing,remaining_planned_days_missing,elapsed_duration_pct_missing,progress_per_elapsed_month_missing,schedule_progress_gap_pct_missing,time_overrun_days,time_overrun_months,time_overrun_flag,progress_delta_recent,expenditure_delta_recent,recent_spend_efficiency_cr_pct
400005,2026,2,0.0322779514729842,0.0012329913250253,4546.26,4500.79,98.0,98.99983722884303,1.01020242070248,45.470000000000255,181.0,335.0,1311.0,-976.0,391.3432835820896,2.275266971777269,-293.34328358208955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.0,34.98973305954826,1,2.0,18.640000000000327,9.320000000000164
400005,2026,3,0.0322779514729842,0.0012329913250253,4546.26,4523.49,99.65,99.49914875084134,0.99848618917051,22.77000000000044,181.0,335.0,1339.0,-1004.0,399.7014925373134,2.265195575056012,-300.0514925373134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.0,34.98973305954826,1,1.6500000000000057,22.699999999999818,13.7575757575756
400005,2026,4,0.0322779514729842,0.0012329913250253,4546.26,4528.07,99.9,99.59989089933264,0.9969959048982244,18.19000000000051,181.0,335.0,1370.0,-1035.0,408.955223880597,2.2194936131386864,-309.05522388059694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.0,34.98973305954826,1,0.25,4.579999999999927,18.31999999999971
400006,2025,12,0.0019375577964683,0.037782377031133,808.99,505.01,31.0,62.42475185107356,2.013701672615276,303.98,0.0,1461.0,1522.0,-61.0,104.17522245037644,0.6199490801576872,-73.17522245037645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,2.004106776180698,1,0.0,0.0,2.013701672615276
400006,2026,1,0.0019375577964683,0.037782377031133,808.99,542.88,32.0,67.10589747710107,2.0970592961594083,266.11,0.0,1461.0,1553.0,-92.0,106.29705681040382,0.627173213135866,-74.29705681040382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0,13.9958932238193,1,1.0,37.870000000000005,37.870000000000005
400006,2026,2,0.0019375577964683,0.037782377031133,808.99,565.72,34.0,69.9291709415444,2.056740321810129,243.27,0.0,1461.0,1584.0,-123.0,108.41889117043122,0.6533301767676768,-74.41889117043122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0,13.9958932238193,1,2.0,22.840000000000032,11.420000000000016
400006,2026,3,0.0019375577964683,0.037782377031133,808.99,596.45,36.0,73.72773458262772,2.0479926272952143,212.54,0.0,1461.0,1612.0,-151.0,110.33538672142367,0.6797456575682382,-74.33538672142369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0,13.9958932238193,1,2.0,30.730000000000018,15.365000000000009
400006,2026,4,0.0019375577964683,0.037782377031133,808.99,701.15,38.0,86.66979814336393,2.280784161667472,107.84000000000005,0.0,1461.0,1643.0,-182.0,112.45722108145108,0.7039713937918443,-74.45722108145107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0,13.9958932238193,1,2.0,104.69999999999993,52.349999999999966
400006,2026,5,0.0019375577964683,0.037782377031133,808.99,743.46,40.0,91.89977626423072,2.297494406605768,65.52999999999997,0.0,1461.0,1673.0,-212.0,114.51060917180014,0.7277346084877465,-74.51060917180014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0,13.9958932238193,1,2.0,42.31000000000006,21.15500000000003
400006,2026,6,0.0019375577964683,0.037782377031133,808.99,743.46,40.0,91.89977626423072,2.297494406605768,65.52999999999997,0.0,1461.0,1704.0,-243.0,116.6324435318275,0.7144953051643192,-76.6324435318275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0,13.9958932238193,1,0.0,0.0,2.297494406605768
400006,2026,7,0.0019375577964683,0.037782377031133,808.99,743.46,44.0,91.89977626423072,2.088631278732516,65.52999999999997,0.0,1461.0,1734.0,-273.0,118.68583162217658,0.7723471741637832,-74.68583162217658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0,13.9958932238193,1,4.0,0.0,0.0
400010,2025,7,0.0129464089127658,0.0016733453696772,480.0,427.04,67.0,88.96666666666667,1.327860696517413,52.95999999999998,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1491.0,48.98562628336756,1,0.0,0.0,1.327860696517413
400010,2025,8,0.0129464089127658,0.0016733453696772,480.0,434.79,71.0,90.58125,1.2757922535211268,45.20999999999998,62.0,1096.0,2526.0,-1430.0,230.4744525547445,0.8555275138558986,-159.47445255474454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491.0,48.98562628336756,1,4.0,7.75,1.9375
400010,2025,10,0.0129464089127658,0.0016733453696772,480.0,471.59,77.0,98.24791666666664,1.2759469696969696,8.410000000000025,62.0,1096.0,2587.0,-1491.0,236.04014598540144,0.905948009277155,-159.04014598540144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491.0,48.98562628336756,1,6.0,36.799999999999955,6.133333333333326
